1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;;;
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl;;;;;
------;Straftaten insgesamt;5314;Bonn;KfS;27,687;8,398;2,322;8.4;29;11;13,599;49.1;9,606;7,246;2,360;3,314;34.5;0;;5314;Bonn;329,673
------;Straftaten insgesamt;5315;Köln;KfS;113,084;10,395;9,305;8.2;104;67;56,076;49.6;40,883;30,799;10,084;17,712;43.3;0;;5315;Köln;1,087,863
------;Straftaten insgesamt;5316;Leverkusen;KfS;10,495;6,410;1,012;9.6;19;13;5,325;50.7;4,090;3,110;980;1,310;32;0;;5316;Leverkusen;163,729
------;Straftaten insgesamt;5334;Aachen;K;45,556;8,178;3,493;7.7;55;40;24,108;52.9;17,681;13,596;4,085;7,360;41.6;0;;5334;Aachen;557,026
------;Straftaten insgesamt;5358;Düren;K;15,691;5,929;1,336;8.5;20;19;8,150;51.9;6,290;4,685;1,605;1,679;26.7;0;;5358;Düren;264,638
------;Straftaten insgesamt;5362;Rhein-Erft-Kreis;K;29,293;6,224;2,468;8.4;38;36;14,431;49.3;11,753;8,963;2,790;3,503;29.8;0;;5362;Rhein-Erft-Kreis;470,615
------;Straftaten insgesamt;5366;Euskirchen;K;9,501;4,906;679;7.1;20;36;5,525;58.2;4,056;3,098;958;873;21.5;0;;5366;Euskirchen;193,656
------;Straftaten insgesamt;5370;Heinsberg;K;14,269;5,584;1,168;8.2;19;33;7,352;51.5;5,601;4,214;1,387;1,445;25.8;0;;5370;Heinsberg;255,555
------;Straftaten insgesamt;5374;Oberbergischer Kreis;K;11,032;4,055;773;7;15;13;6,498;58.9;4,894;3,672;1,222;1,097;22.4;0;;5374;Oberbergischer Kreis;272,057
------;Straftaten insgesamt;5378;Rheinisch-Bergischer Kreis;K;12,157;4,292;945;7.8;24;12;6,652;54.7;5,226;3,930;1,296;1,288;24.6;0;;5378;Rheinisch-Bergischer Kreis;283,271
------;Straftaten insgesamt;5382;Rhein-Sieg-Kreis;K;26,277;4,374;2,035;7.7;38;30;13,345;50.8;10,881;8,368;2,513;2,947;27.1;0;;5382;Rhein-Sieg-Kreis;600,764
------;Straftaten insgesamt;5512;Bottrop;KfS;6,571;5,589;571;8.7;18;16;3,367;51.2;2,677;1,975;702;746;27.9;0;;5512;Bottrop;117,565
------;Straftaten insgesamt;5513;Gelsenkirchen;KfS;21,494;8,278;1,922;8.9;33;15;11,176;52;9,116;6,668;2,448;3,380;37.1;0;;5513;Gelsenkirchen;259,645
------;Straftaten insgesamt;5515;Münster;KfS;26,750;8,484;1,754;6.6;22;11;11,393;42.6;8,143;6,290;1,853;2,680;32.9;0;;5515;Münster;315,293
------;Straftaten insgesamt;5554;Borken;K;19,570;5,270;1,302;6.7;17;53;10,713;54.7;7,807;6,144;1,663;2,056;26.3;0;;5554;Borken;371,339
------;Straftaten insgesamt;5558;Coesfeld;K;10,612;4,811;868;8.2;17;14;5,609;52.9;4,240;3,233;1,007;1,068;25.2;0;;5558;Coesfeld;220,586
------;Straftaten insgesamt;5562;Recklinghausen;K;39,928;6,501;2,827;7.1;68;48;21,437;53.7;15,439;11,488;3,951;4,480;29;0;;5562;Recklinghausen;614,137
------;Straftaten insgesamt;5566;Steinfurt;K;22,664;5,056;1,304;5.8;15;33;12,351;54.5;8,842;6,866;1,976;2,510;28.4;0;;5566;Steinfurt;448,220
------;Straftaten insgesamt;5570;Warendorf;K;12,684;4,565;847;6.7;20;21;7,235;57;5,493;4,279;1,214;1,577;28.7;0;;5570;Warendorf;277,840
------;Straftaten insgesamt;5711;Bielefeld;KfS;23,213;6,946;1,389;6;48;15;14,016;60.4;9,516;7,249;2,267;3,638;38.2;0;;5711;Bielefeld;334,195
------;Straftaten insgesamt;5754;Gütersloh;K;16,302;4,467;1,118;6.9;23;16;9,213;56.5;7,277;5,706;1,571;2,721;37.4;0;;5754;Gütersloh;364,938
------;Straftaten insgesamt;5758;Herford;K;10,249;4,090;778;7.6;15;17;5,869;57.3;4,803;3,681;1,122;1,286;26.8;0;;5758;Herford;250,578
------;Straftaten insgesamt;5762;Höxter;K;6,398;4,562;383;6;4;13;3,975;62.1;2,888;2,257;631;577;20;0;;5762;Höxter;140,251
------;Straftaten insgesamt;5766;Lippe;K;12,922;3,718;991;7.7;20;21;7,486;57.9;5,941;4,470;1,471;1,378;23.2;0;;5766;Lippe;347,514
------;Straftaten insgesamt;5770;Minden-Lübbecke;K;14,176;4,567;961;6.8;33;21;7,705;54.4;5,979;4,606;1,373;1,433;24;0;;5770;Minden-Lübbecke;310,409
------;Straftaten insgesamt;5774;Paderborn;K;15,806;5,135;1,072;6.8;18;17;9,095;57.5;6,325;4,861;1,464;1,535;24.3;0;;5774;Paderborn;307,839
